"Policy","AGBs"
"Order #","Bestellung Nr. "
"Rental Product","Leihprodukt"
"Price","Preis"
"From","Von"
"To","Bis"
"Options","Optionen"
"Delivery","Lieferung"
"Status","Status"
"You have not rented any products.","You have not rented any products."
"Select ...","Select ..."
"Approximate ship time","Approximate ship time"
"Pickup Address","Pickup Address"
"Lead time","Lead time"
"Address","Address"
"%1 for the first %2 %3","%1 for the first %2 %3"
"%1 for every extra %2 %3","%1 for every extra %2 %3"
"%1 for every %2 %3","%1 for every %2 %3"
"day","day"
"days","days"
"week","week"
"weeks","weeks"
"hour","hour"
"hours","hours"
"Product Name","Product Name"
"SKU","SKU"
"Qty","Qty"
"Ordered","Ordered"
"Shipped","Shipped"
"Canceled","Canceled"
"Refunded","Refunded"
"Subtotal","Subtotal"
"Please select rent duration!","Please select rent duration!"
"/extra %1 %2","/extra %1 %2"
"My Rents","My Rents"
"Pending","Pending"
"Delivered","Delivered"
"Returned","Returned"
