Artikelnummer im Shop;EAN / Barcodenummer;Original Herstellerartikelnummer;Herstellername;Produktname;Produktgruppe im Shop;Preis (Brutto);Lieferzeit;ProduktURL;BildURL_1 (großes Bild);BildURL_2 (großes Bild);BildURL_3 (großes Bild);Vorkasse;Vorkasse / Paypal Österreich;Nachnahme;Kreditkarte (z.B. nur bis 1000 EUR);Paypal;Sofortüberweisung;Bankeinzug;Rechnung;Moneybookers;Click & Buy;Giropay;Versandkosten Kommentar (max. 100 Zeichen);Produktbeschreibung (max. 1000 Zeichen);Grundpreis (Produktabhängig)
EE-770100100;4250386620354;770100100;Drive Medical;Rollator GoLite 200 XXL;Mobilität > Rollatoren und Zubehör > Rollatoren;259.0000;1-2 Wochen;https://www.brandvital.de/standardrollator-in-ueberbreite.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/s/d/sdim1224_8.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p>Der Rollator Go Lite 200XXL bietet Sicherheit und Mobilität bei höherer Belastung, von bis zu 200 kg..</p><br /><p>Er bietet Komfort durch eine extrabreite Sitzfläche und ist für den Außen- und Innenbreich geeignet.</p><br /><p>Das Model verfügt über abnehmbare, gepolsterte Rückenstützbügel, eine Faltsicherung und 6-fach verstellbare ergonomische Handgriffe.</p><br /><p>Dennoch wiegt er, ausgestattet mit Korb und Rückenlehne, nur 12,8 kg und ist damit leicht zu manövrieren. </p><br /><p>Pannensichere Bereifung, Korb und Tablett sind im Lieferumfang enthalten.</p><br /><p> </p><br />;;
DZ-324NPU;87168000;324NPU;Dietz;Rollator Ergo Arthritis;Mobilität > Rollatoren und Zubehör > Rollatoren;395;1 Woche;https://www.brandvital.de/rollator-mit-unterarmauflagen-von-dietz.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/d/i/dietz_arthritis_sd24_1.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p>Der faltbare Spezial-Rollator ist mit komfortablen Armauflagen ausgestattet und eignet sich somit für</p><br /><p>Rheuma- und Arthritispatienten.</p><br /><p>Der stabile Stahlrohrrahmen ist einfach zusammenklappbar und bietet eine tiefes Sitzbrett für bequemes Sitzen.</p><br /><p>Der Rollator ist mit Korb, Tablett, Sitz und pannensicherer Bereifung ausgestattet.</p><br /><p>Eine leichtgängige Ergobrense, höhenverstellbare und drehsichere Schiebegriffe ermöglichen eine sichere und</p><br /><p>beschwerdefreie Mobilität.</p>;;
SUN-46000;;46000;Sundo Homecare;Freistehender Bettaufrichter / Bettgalgen;Pflege > Pflegebetten und Zubehör > Bett Zubehör;119.9900;3-4 Tage;https://www.brandvital.de/sundo-freistehender-bettaufrichter.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/b/e/bettaufrichter_sd_24.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p>Freistehender Stahl-Bettgalgen mit Griff und Gurt, zum Selbstaufrichten.</p><br /><p>Diese stabile Konstruktion ist ausreichend höhenverstellbar und lässt sich platzsparend zusammenlegen.</p><br /><p>Der Triangelgriff ist höhen/- und längenverstellbar und hat eine maximale Tragkraft von 100kg.</p>;;
SUN-47160;;47160;Sundo Homecare;Bettpfanne aus Kunststoff;Pflege > Pflegebetten und Zubehör > Bett Zubehör;8.9900;1 Woche;https://www.brandvital.de/bettpfanne-aus-kunststoff.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/b/e/bettpfanne_aus_kunststoff_7.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Das Kunststoff Steckbecken ist leicht, handlich und hat eine Durchmesser von 31 cm. Im Lieferumfang ist ein hygienischer Deckel enthalten. Das Steckbecken ist Dampfsterilisierbar.</p><br /><p> </p>;;
RFM-08480212;04041314008180;08480212;Rehaforum;Bettpfanne aus Edelstahl;Pflege > Pflegebetten und Zubehör > Bett Zubehör;34.99;1-2 Tage;https://www.brandvital.de/bettpfanne-aus-edelstahl.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/s/d/sdim1192_7.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Das Steckbecken besteht aus Edelstahl und verfügt über einen Griff und Deckel.</p><br /><p>Farbe: silber</p>;;
AZ-110470-WDS;04250649142654;00110470-WDS;ADL;Wechseldrucksystem Soft air® simplex bis Grad II;Pflege > Pflegebetten und Zubehör > Antidekubitus Systeme;279;1-2 Tage;https://www.brandvital.de/wechseldrucksystem-bis-stadium-ii.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/a/d/adl_soft_air_simplex_wds_7.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p><strong>Großzelliges Wechseldruckauflagensystem zur Dekubitusprophylaxe und Therapieunterstützung bei mittlerem Risiko / Grad II</strong></p><br /><p>Das soft air® simplex wds ist als großzelliges Wechseldrucksystem zur Dekubitusprophylaxe und Therapieunterstützung bei mittlerem Risiko, bis Grad II einsetzbar. Es besteht aus einer Kompressoreinheit, einer Matratze mit 21 einzeln herausnehmbaren Zellen und einem Polyurethanbezug. Der Bezug ist bis 95 °C waschbar, atmungsaktiv und feuchtigkeitsabweisend. Der Kompressor arbeitet extrem leise und vibrationsarm. Der Druckbereich ist individuell auf das Körpergewicht einstellbar und belüftet die Matratze mit einem zehnminütigen Wechseldruck. Außerdem kann der Patient auch statisch gelagert werden. Für Liegeflächen 200 x 90 cm.</p><br /><p><strong>Merkmale im Überblick:</strong></p><br /><ul><br /><li>einsetzbar von 40 bis 130 kg Körpergewicht</li><br /><li>Belüftung im Zwei-Kammer-Prinzip</li><br /><li>Druckregulierung individuell einstellbar</li><br /><li>wahlweise statische Lagerung oder Wechseldrucklagerung möglich, daher einsetzbar bei verschiedenen Krankheitsbildern</li><br /><li>Geräusch- und vibrationsarm durch AVS (Anti-Vibrations-System)</li><br /><li>neu entwickelte CPR verhindert unbeabsichtigtes Öffnen</li><br /><li>Bodenwanne<br /><br /><ul><br /><li>mit 21 einzeln herausnehmbaren Zellen</li><br /><li>3 Schlaufen zur Zellenfixierung</li><br /><li>am Bett fixierbar</li><br /></ul><br /></li><br /><li>Inkl. PU-Haube mit Rundum-Reißverschluss, atmungsaktiv, feuchtigkeitsundurchlässig, 95°C waschbar, bis 50°C trocknergeeignet</li><br /><li>für Liegeflächen 200 x 90 cm (zusätzliche Auflagematratze erforderlich)</li><br /><li>thermisch desinfizierbar, daher wieder einsatzfähig</li><br /></ul>;;
AZ-110400-WDS;;110 400-WDS;ADL;Wechseldrucksystem soft air® bis Grad III;Pflege > Pflegebetten und Zubehör > Antidekubitus Systeme;380;1-2 Tage;https://www.brandvital.de/wechseldrucksystem-bis-stadium-iii.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/w/e/wechseldrucksystem_soft_air_wds_7.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p>Das soft air® wds ist als großzelliges Wechseldrucksystem zur Dekubitusprophylaxe und Therapieunterstützung bei hohem Risiko/ bis Grad III einsetzbar. Es besteht aus einem Pumpaggregat, einer Matratze mit 17 einzeln herausnehmbaren Zellen und einem Polyurethanbezug. Der Bezug ist bis 95 °C waschbar, atmungsaktiv und feuchtigkeitsabweisend. Das Pumpaggregat arbeitet extrem leise und vibrationsarm. Es  ist individuell auf das Körpergewicht einstellbar und belüftet die Matratze mit einem zehnminütigen Wechseldruckzyklus nach dem Drei-Kammern-Prinzip. Außerdem kann der Patient auch statisch gelagert werden. Für Liegeflächen 200 x 90 cm.</p>;;
GS-PL4-004;;PL4-004;Rebotec;Komfort-Hebegurt mit Kopfstütze;Personenlifter und Zubehör;109;1 Woche;https://www.brandvital.de/komfort-hebegurt-mit-kopfstuetze.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/k/o/komfort-hebegurt_7.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;Der Komfort-Tragegurt, passend zu (fast) allen Personenliftern, bietet gepolsterte Beinteile, eine Aufnahme zur Anbringung der Kopfstütze und besteht aus Wasser abweisendem Nylon. Die im Lieferumfang enthaltene Kopfstütze ist bei Bedarf mittels Klettverschluss einfach am Komfort-Hebegurt anzubringen.<br />;;
AT-3.00.002;4028698001754;3.00.002;Invacare;Einstieghilfe Step von Invacare GmbH;Einstiegshilfen und Griffsysteme;78.9000;1 Woche;https://www.brandvital.de/einstieghilfe.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/i/n/invacare_einstieghilfe_aqua_step.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p>Die Einstieghilfe Step hat Füße mit rutschfesten Gummikappen. Der stabile Rahmen sorgt für optimale Stabilität. Besonders praktisch ist der rutschsichere, abknöpfbare und maschinenwaschbare Bezug.</p>;;
EE-540200000;5060266841644;540200000;Drive Medical;Duschhocker Delphi Plus- mit einer Hygieneaussparung;Duschhocker;43.5000;1-2 Wochen;https://www.brandvital.de/duschhocker-drive-medical-delphi-plus.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/d/u/duschhocker_delphi_plus_7.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<h2>Duschhocker Delphi Plus - das Leichtgewicht mit maximaler Belastbarkeit</h2><br /><ul><br /><li><br /><ul><br /><li>Die Hygienöffnung erleichtert die tägliche Körperpflege</li><br /><li>Sicher, stabil und platzsparend</li><br /><li>Sitzfläche mit Ablaufschlitzen</li><br /><li>Geringes Eigengewicht</li><br /><li>Dreifache Sitzhöhenverstellung durch Teleskopbeine</li><br /><li>Sicherer Stand durch Gummifüße</li><br /><li>Beine aus eloxiertem Alu-Rohr</li><br /><li>Lieferung in praktischer Mitnahmeverpackung</li><br /><li>Einfach zu reinigen</li><br /></ul><br /></li><br /></ul>;;
